epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7503214478492737,0.1530010849237442,0.01,0.934249997138977,0.05959942564368248
1,0.9233214259147644,0.062135111540555954,0.01,0.9664999842643738,0.030540907755494118
2,0.943142831325531,0.050049372017383575,0.01,0.9742500185966492,0.030616918578743935
3,0.9483928680419922,0.04623878374695778,0.01,0.9754999876022339,0.026638220995664597
4,0.9507856965065002,0.04370345547795296,0.01,0.9768750071525574,0.024805834516882896
5,0.9536428451538086,0.04106613248586655,0.01,0.9751250147819519,0.02345961704850197
6,0.9559285640716553,0.04051736369729042,0.01,0.9798750281333923,0.021522734314203262
7,0.9545714259147644,0.040812574326992035,0.01,0.9782500267028809,0.023794760927557945
8,0.9572499990463257,0.03927765041589737,0.01,0.9789999723434448,0.020311541855335236
9,0.9562143087387085,0.04008747264742851,0.01,0.9788749814033508,0.021619807928800583
10,0.959928572177887,0.03667069226503372,0.01,0.9815000295639038,0.02076192945241928
11,0.9576071500778198,0.0385543517768383,0.01,0.9822499752044678,0.018535787239670753
12,0.9606785774230957,0.03583048656582832,0.01,0.9808750152587891,0.01994802989065647
13,0.960178554058075,0.03664730116724968,0.01,0.9803749918937683,0.021257910877466202
14,0.960178554058075,0.03615455701947212,0.01,0.9802500009536743,0.019923510029911995
15,0.961392879486084,0.03580576553940773,0.01,0.9746249914169312,0.02495093271136284
16,0.9624642729759216,0.03496742993593216,0.01,0.9832500219345093,0.01861199550330639
17,0.9617857336997986,0.035235632210969925,0.01,0.9837499856948853,0.01843990571796894
18,0.9637143015861511,0.03456415608525276,0.01,0.9828749895095825,0.0182208102196455
19,0.9637143015861511,0.03383729234337807,0.01,0.984375,0.016854384914040565
20,0.9626428484916687,0.03501991182565689,0.01,0.9852499961853027,0.01757081039249897
21,0.9651071429252625,0.033402301371097565,0.01,0.9853749871253967,0.017942162230610847
22,0.9632499814033508,0.03439643979072571,0.01,0.9852499961853027,0.018135178834199905
23,0.9645000100135803,0.03371424973011017,0.01,0.9862499833106995,0.015354976989328861
24,0.9667500257492065,0.03227711096405983,0.01,0.9833750128746033,0.018587617203593254
25,0.9656071662902832,0.03273941949009895,0.01,0.9861249923706055,0.015370677225291729
26,0.9658571481704712,0.03247049078345299,0.01,0.9848750233650208,0.01758057251572609
27,0.9647142887115479,0.03308180347084999,0.01,0.9862499833106995,0.015948431566357613
28,0.9670000076293945,0.031785283237695694,0.01,0.984624981880188,0.016745569184422493
29,0.9661785960197449,0.03207619860768318,0.01,0.9771249890327454,0.02294985018670559
30,0.9652143120765686,0.03259950503706932,0.01,0.9825000166893005,0.018343733623623848
31,0.9668928384780884,0.03170853480696678,0.01,0.9851250052452087,0.018100330606102943
32,0.9683571457862854,0.030560772866010666,0.01,0.9831249713897705,0.020524460822343826
33,0.9682857394218445,0.031377535313367844,0.01,0.9815000295639038,0.017977314069867134
